Date,spy,spy_lag1,sp500,nasdaq,dji,cac40,daxi,aord,hsi,nikkei,Price
2008-01-04,-1.5299980000000062,-1.5700079999999732,-3.5400389999999784,-40.87988300000006,2.439449999999852,5.489745999999286,-27.990235000000208,-2.3002930000002384,515.3496089999971,-464.32031300000017,143.33999599999999
2008-01-07,0.2700040000000001,-1.5299980000000062,-29.94006399999989,-56.93017599999985,-245.40917999999874,-111.68994099999964,-102.7099610000023,-27.5,216.95117099999698,-48.83007799999905,141.809998
2008-01-08,-2.9900059999999935,0.2700040000000001,1.6400149999999485,-7.179931000000124,19.75,44.50976599999922,33.68017600000257,-33.89990200000011,-354.0605469999901,99.37011699999857,142.080002
2008-01-09,0.5899969999999826,-2.9900059999999935,-25.459961000000018,-63.119873000000105,-230.69043000000056,-17.109863999999106,-5.270019999999931,-12.900390000000696,768.359375,234.4501949999976,139.08999599999999
2008-01-10,1.1000060000000076,0.5899969999999826,16.530029000000013,8.270019000000502,142.9003900000007,9.140137000000324,-40.12011700000039,-100.20019599999979,-195.5605470000046,-158.20996099999502,139.679993
2008-01-11,0.3800049999999828,1.1000060000000076,13.130004999999983,19.73998999999958,117.6298799999986,-70.04980499999965,-81.65966799999933,-100.20019599999979,-568.5,-308.6396490000025,140.779999
2008-01-14,-1.3700110000000052,0.3800049999999828,-17.0,-0.9899899999995796,-236.9599600000001,-52.66015600000082,-24.910155999999915,-21.800293000000238,-550.9999999999964,-308.6396490000025,141.16000400000001
2008-01-15,-2.42999199999997,-1.3700110000000052,8.969970999999989,-21.830078000000405,163.71973000000068,44.54003900000043,22.06005900000036,-132.80029300000024,-891.1503909999992,-162.2802730000003,139.78999299999998
2008-01-16,0.4499969999999962,-2.42999199999997,-34.469970999999994,-58.47998000000007,-300.69043000000056,-174.14990200000008,-178.12011800000073,-20.89990200000011,-680.2597659999992,-292.22070300000087,137.360001
2008-01-17,-3.0699930000000113,0.4499969999999962,-2.619995000000017,15.179931000000124,-9.759759999999003,62.06982400000015,-31.62988199999927,-3.6000979999998886,409.90039099999916,187.07031199999986,137.809998
2008-01-18,-7.530006,-3.0699930000000113,-40.890014999999956,-40.17993100000013,-307.1093799999999,-118.72998000000008,-87.30029300000116,-3.6000979999998886,954.6992189999983,283.79003899999765,134.740005
2008-01-22,-0.12000299999999695,-7.530006,-20.96008299999994,-144.36010799999985,-67.22069999999985,-461.6899409999997,-701.2900390000041,181.39990299999957,-866.6582039999994,-552.1806639999994,127.209999
2008-01-23,7.3900000000000015,-0.12000299999999695,-2.5299070000000943,5.570068999999876,-123.639650000001,405.2099609999996,220.41992200000183,124.89990299999954,730.9707030000028,72.75,127.089996
2008-01-24,2.029999000000004,7.3900000000000015,29.71997099999999,102.09008700000004,303.6103500000008,-133.00976599999922,-261.700195999998,254.69970699999973,-857.5800779999989,140.2802730000003,134.479996
2008-01-25,-3.25,2.029999000000004,17.18994100000009,73.93994199999997,119.00976999999877,184.5795899999994,334.0502929999975,254.69970699999973,320.90820299999905,370.390625,136.509995
2008-01-28,2.840011000000004,-3.25,-26.619995000000014,-77.94995100000007,-185.9902399999992,-210.06982400000012,-134.87011699999948,-133.39990200000008,-288.78125,-394.92968800000017,133.259995
2008-01-29,-0.5200040000000001,2.840011000000004,25.239990000000034,35.57983400000012,179.48047000000042,101.8798829999996,85.31005900000036,-115.40039000000071,-348.2988279999991,232.1699220000046,136.100006
2008-01-30,-2.180008000000015,-0.5200040000000001,6.280029999999898,-14.069825000000035,94.94921999999859,18.35009700000046,52.319823999999244,40.39990200000011,-951.4609380000003,-155.4892579999996,135.580002
2008-01-31,4.540008,-2.180008000000015,-10.239990999999918,-29.25,-41.85937999999987,-48.35986299999968,-30.040039000000434,165.0996099999993,-333.98046899999827,364.989258000005,133.399994
2008-02-01,1.270005000000026,4.540008,26.6199959999999,75.46997099999999,199.88965000000096,72.41992200000004,39.310058000000026,165.0996099999993,331.66015599999815,-20.580078000000867,137.940002
2008-02-04,-3.270005000000026,1.270005000000026,16.780029000000013,20.839844000000085,104.94043000000055,91.46972699999878,122.45019600000069,-69.10009700000046,147.00976499999888,217.10058599999863,139.21000700000002
2008-02-05,-1.3599999999999852,-3.270005000000026,-15.099975999999971,-68.60986300000013,-111.2607400000015,-57.16992199999913,-19.89990299999954,-152.5,98.59960999999748,-60.66992199999913,135.940002
2008-02-06,-2.779999000000004,-1.3599999999999852,-40.80004899999994,-17.630126999999902,-374.5996099999993,-240.67968800000014,-272.2001950000004,-7.5,11.310547000000954,-449.29003899999407,134.580002
2008-02-07,1.2899930000000095,-2.779999000000004,-15.469970000000105,-67.55981499999962,-61.04980000000069,63.14990300000046,102.529784999997,44.899902000000104,11.310547000000954,129.90039099999922,131.800003
2008-02-08,0.01000999999999408,1.2899930000000095,12.869995000000017,30.87988299999961,52.2695300000014,-27.70019599999887,-51.529784999997,44.899902000000104,11.310547000000954,-125.83984400000007,133.08999599999999
2008-02-11,1.8099979999999791,0.01000999999999408,-4.959961000000021,20.25,-66.58008000000153,-111.70996100000141,-53.56982400000015,53.0,-788.6308590000008,-125.83984400000007,133.100006
2008-02-12,1.099991000000017,1.8099979999999791,8.630004999999983,22.56005899999991,59.669920000000275,75.62988299999961,69.5,-64.80029300000024,-32.109375,23.089844000000085,134.91000400000001
2008-02-13,0.9400019999999928,1.099991000000017,12.569946000000071,13.909912000000073,126.56055000000015,63.04003900000043,120.73974599999927,112.0,-160.53906299999653,-94.65038999999888,136.009995
2008-02-14,-2.449996999999996,0.9400019999999928,14.20996100000002,29.0,183.38965000000096,132.15039100000013,110.35986299999786,-45.5,128.16992200000095,371.8603509999994,136.949997
2008-02-15,2.2200009999999963,-2.449996999999996,-19.80993600000011,-55.63989300000003,-174.8496100000011,-66.4799809999995,-57.819823999997425,-45.5,636.9589850000011,114.02929700000459,134.5
2008-02-19,-2.729996,2.2200009999999963,8.33996500000012,28.39990200000011,-27.070319999998897,34.2299809999995,82.11035200000516,-115.80029300000022,82.50976599999922,-3.849609999999302,136.720001
2008-02-20,2.66999899999999,-2.729996,-7.469970000000102,-56.15991200000008,-16.28027000000111,-16.160156999998435,-14.660156000002644,65.60009799999989,-674.7402350000011,-419.3798829999996,133.990005
